pid,work_creator,label,caption,type,location,_date,style,description,image_creator,image_date,image_type,image_description,repository,collection,use_rights_statement,media_url,,order,layout,thumbnail,full,manifest
181686,"Tubby, William Bunker (American architect, 1858-1944) amateur architect, building|Tiffany Glass and Decorating Company (American glass manufactory, 19th-20th centuries) interior designer, stacks and interior furnishings|Howells, John Mead (American architect, 1868-1959) architect, north porch|Cavaglieri and Gran Architects (20th century American architecture firm) architect, renovation",Pratt Institute Library,exterior view of the Pratt Institute Library,library,"200 Willoughby Ave, Brooklyn, New York, New York, United States (original)",1896 (creation); 1912 (addition); 1980-1982 (renovation),,"The Pratt Institute Library was built as a public as well as a college library. It is a designated New York City Landmark and part of the Pratt Institute Historic District. The building opened in 1896, though the library as an institution had existed since 1888. Originally located in the Main Building, it was the first free library in Brooklyn. The library building was designed by architect William Tubby in the Renaissance Revival style, with Tiffany Glass and Decorating Company responsible for the interiors. As designed, the entrance was on the north side of the building. The building is notable for its early inclusion of a children's room, and in 1912, a dedicated children's entrance fashioned after the Norman staircase of Canterbury Cathedral was added to the building's south side. The north porch by John Mead Howells, now sealed off, was added in 1936. In 1980, the children's porch was removed to make way for an expansion of the basement level and the addition of the south plaza.",,1913,postcard,Handwritten on reverse: 1913.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.26234544,,0,anniversary_item,"/img/derivatives/iiif/images/181686/full/250,/0/default.jpg","/img/derivatives/iiif/images/181686/full/1140,/0/default.jpg",/img/derivatives/iiif/181686/manifest.json
159545,"Lamb and Rich (American architectural firm, active late 19th century) architectural firm|Rich, Charles Alonzo (American architect, 1855-1943) architect",Main Building,exterior view of the Main Building,university and college building,"Pratt Institute (Brooklyn, New York, New York, United States)",1887 (creation); 1895 (alteration),,"The Main Building is a designated New York City Landmark and part of the Pratt Institute Historic District. It was designed by Lamb and Rich, an architectural firm favored by the Pratt family, and was the first structure erected for Pratt Institute. It was soon joined by the Trade School Building (Student Union) and the Mechanic Arts Building (East Hall), the other two buildings of the original Pratt Institute complex. Constructed in red brick in the Romanesque Revival style, the building has a large central clock tower and a portico that was added in 1895. The building was damaged by fire in 1910 and again in 2013. The Main Building originally contained the library, a museum, the Women's Department, Art Department, and Cooking Department; today it houses administrative offices, classrooms, and studios.",,n.d. [between 1890 and 1920],black-and-white print,East Hall and South Hall can also be seen.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.26234530,,1,anniversary_item,"/img/derivatives/iiif/images/159545/full/250,/0/default.jpg","/img/derivatives/iiif/images/159545/full/1140,/0/default.jpg",/img/derivatives/iiif/159545/manifest.json
159223,"Tubby, William Bunker (American architect, 1858-1944) amateur architect, building|Tiffany Glass and Decorating Company (American glass manufactory, 19th-20th centuries) interior designer, stacks and interior furnishings|Howells, John Mead (American architect, 1868-1959) architect, north porch|Cavaglieri and Gran Architects (20th century American architecture firm) architect, renovation",Pratt Institute Library,exterior view of the Pratt Institute Library,library,"200 Willoughby Ave, Brooklyn, New York, New York, United States (original)",1896 (creation); 1912 (addition); 1980-1982 (renovation),,"The Pratt Institute Library was built as a public as well as a college library. It is a designated New York City Landmark and part of the Pratt Institute Historic District. The building opened in 1896, though the library as an institution had existed since 1888. Originally located in the Main Building, it was the first free library in Brooklyn. The library building was designed by architect William Tubby in the Renaissance Revival style, with Tiffany Glass and Decorating Company responsible for the interiors. As designed, the entrance was on the north side of the building. The building is notable for its early inclusion of a children's room, and in 1912, a dedicated children's entrance fashioned after the Norman staircase of Canterbury Cathedral was added to the building's south side. The north porch by John Mead Howells, now sealed off, was added in 1936. In 1980, the children's porch was removed to make way for an expansion of the basement level and the addition of the south plaza.",,1896,black-and-white print,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.26234318,,10,anniversary_item,"/img/derivatives/iiif/images/159223/full/250,/0/default.jpg","/img/derivatives/iiif/images/159223/full/1140,/0/default.jpg",/img/derivatives/iiif/159223/manifest.json
208709,,Program for the Opening of the Pratt Institute Free Library,,program,,,,"Program for the Opening of the Pratt Institute Free Library on May 26, 1896 featuring Frederic B. Pratt, Rev. John Humpstone, Charles M. Pratt, Margaret Deland, Truman J. Backus, Melvil Dewey, Reverend S. D. McConnell and music by the Dannreuther Quartette.",,1896,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu.


 If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.31826328,,11,anniversary_item,"/img/derivatives/iiif/images/208709/full/250,/0/default.jpg","/img/derivatives/iiif/images/208709/full/1140,/0/default.jpg",/img/derivatives/iiif/208709/manifest.json
208713,"Pratt, Charles Millard (1855-1935)",Charles Pratt's Remarks for the Opening of the Pratt Institute Free Library,,speech,,,,"Remarks made by Charles Millard Pratt, Pratt Institute president, during the opening of the new building of the Pratt Institute Free Library.",,"May 26, 1896",,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu.


 If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.31834846,,12,anniversary_item,"/img/derivatives/iiif/images/208713/full/250,/0/default.jpg","/img/derivatives/iiif/images/208713/full/1140,/0/default.jpg",/img/derivatives/iiif/208713/manifest.json
181685,"Tubby, William Bunker (American architect, 1858-1944) amateur architect, building|Tiffany Glass and Decorating Company (American glass manufactory, 19th-20th centuries) interior designer, stacks and interior furnishings|Howells, John Mead (American architect, 1868-1959) architect, north porch|Cavaglieri and Gran Architects (20th century American architecture firm) architect, renovation",Pratt Institute Library,interior view of the former circulation desk in front of the stacks,library,"200 Willoughby Ave, Brooklyn, New York, New York, United States (original)",1896 (creation); 1912 (addition); 1980-1982 (renovation),,"The Pratt Institute Library was built as a public as well as a college library. It is a designated New York City Landmark and part of the Pratt Institute Historic District. The building opened in 1896, though the library as an institution had existed since 1888. Originally located in the Main Building, it was the first free library in Brooklyn. The library building was designed by architect William Tubby in the Renaissance Revival style, with Tiffany Glass and Decorating Company responsible for the interiors. As designed, the entrance was on the north side of the building. The building is notable for its early inclusion of a children's room, and in 1912, a dedicated children's entrance fashioned after the Norman staircase of Canterbury Cathedral was added to the building's south side. The north porch by John Mead Howells, now sealed off, was added in 1936. In 1980, the children's porch was removed to make way for an expansion of the basement level and the addition of the south plaza.",,n.d. [1896-1900],black-and-white print,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.26220456,,13,anniversary_item,"/img/derivatives/iiif/images/181685/full/250,/0/default.jpg","/img/derivatives/iiif/images/181685/full/1140,/0/default.jpg",/img/derivatives/iiif/181685/manifest.json
159222,"Tubby, William Bunker (American architect, 1858-1944) amateur architect, building|Tiffany Glass and Decorating Company (American glass manufactory, 19th-20th centuries) interior designer, stacks and interior furnishings|Howells, John Mead (American architect, 1868-1959) architect, north porch|Cavaglieri and Gran Architects (20th century American architecture firm) architect, renovation",Pratt Institute Library,interior view of the Pratt Institute Library circulation department,library,"200 Willoughby Ave, Brooklyn, New York, New York, United States (original)",1896 (creation); 1912 (addition); 1980-1982 (renovation),,"The Pratt Institute Library was built as a public as well as a college library. It is a designated New York City Landmark and part of the Pratt Institute Historic District. The building opened in 1896, though the library as an institution had existed since 1888. Originally located in the Main Building, it was the first free library in Brooklyn. The library building was designed by architect William Tubby in the Renaissance Revival style, with Tiffany Glass and Decorating Company responsible for the interiors. As designed, the entrance was on the north side of the building. The building is notable for its early inclusion of a children's room, and in 1912, a dedicated children's entrance fashioned after the Norman staircase of Canterbury Cathedral was added to the building's south side. The north porch by John Mead Howells, now sealed off, was added in 1936. In 1980, the children's porch was removed to make way for an expansion of the basement level and the addition of the south plaza.",,1903,black-and-white print,Inscribed on reverse: 'Circulating Department Pratt Institute Free Library 1903.',"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.26234313,,14,anniversary_item,"/img/derivatives/iiif/images/159222/full/250,/0/default.jpg","/img/derivatives/iiif/images/159222/full/1140,/0/default.jpg",/img/derivatives/iiif/159222/manifest.json
208695,"Tubby, William Bunker (American architect, 1858-1944) amateur architect, building|Tiffany Glass and Decorating Company (American glass manufactory, 19th-20th centuries) interior designer, stacks and interior furnishings|Howells, John Mead (American architect, 1868-1959) architect, north porch|Cavaglieri and Gran Architects (20th century American architecture firm) architect, renovation",Pratt Institute Library,interior view of the Pratt Institute Library,library,"200 Willoughby Ave, Brooklyn, New York, New York, United States (original)",1896 (creation); 1912 (addition); 1980-1982 (renovation),Romanesque Revival,"The Pratt Institute Library was built as a public as well as a college library. It is a designated New York City Landmark and part of the Pratt Institute Historic District. The building opened in 1896, though the library as an institution had existed since 1888. Originally located in the Main Building, it was the first free library in Brooklyn. The library building was designed by architect William Tubby in the Renaissance Revival style, with Tiffany Glass and Decorating Company responsible for the interiors. As designed, the entrance was on the north side of the building. The building is notable for its early inclusion of a children's room, and in 1912, a dedicated children's entrance fashioned after the Norman staircase of Canterbury Cathedral was added to the building's south side. The north porch by John Mead Howells, now sealed off, was added in 1936. In 1980, the children's porch was removed to make way for an expansion of the basement level and the addition of the south plaza.",White Studio,March 1914,black-and-white print,Interior view of the Applied Science Reference Room in the Pratt Institute Free Library showing students studying.,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.31833289,,15,anniversary_item,"/img/derivatives/iiif/images/208695/full/250,/0/default.jpg","/img/derivatives/iiif/images/208695/full/1140,/0/default.jpg",/img/derivatives/iiif/208695/manifest.json
179275,"White (American photographer, active early 20th century)",[South Library School Classroom with Class of 1928],,black-and-white print,,,,"Handwritten on reverse: South Library School Classroom / with Class of 1928 / in session with Miss Pathbone / May 10, 1928; Stamped on reverse: From / PRATT INSTITUTE FREE LIBRARY, / Brooklyn--New York; Stamped on obverse: White Studio N.Y. / 965-3.",,,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu. If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.343999,,16,anniversary_item,"/img/derivatives/iiif/images/179275/full/250,/0/default.jpg","/img/derivatives/iiif/images/179275/full/1140,/0/default.jpg",/img/derivatives/iiif/179275/manifest.json
208714,,Pratt Institute Library School Entrance Exam,,exam,,,,"Seven question entrance exam to Pratt Institute's Library School from September 21, 1897.",,1897,,,"Pratt Institute Archives, Pratt Institute Library (Brooklyn, New York, United States)",125Exhibit,"This item is protected by copyright and other rights and restrictions. Use of this item for purposes other than research or personal use requires permission from the Pratt Institute Archives. Items created before 1925 are in the Public Domain under the laws of the United States, but these same items may not be in the Public Domain under the laws of other countries. Permissions for intended uses may need to be obtained, and other rights such as publicity, privacy, or moral rights (e.g. right to be cited and right to integrity of the original) may limit how items can be used. Using items identified as student coursework may require permission from the student or rights-holder. For more information, or to obtain a high resolution digital file, please contact archives.library@pratt.edu.


 If you are the rights-holder of this item and have any concerns about how it is being shared, please visit https://libguides.pratt.edu/archives/takedown to submit a takedown request.",https://www.jstor.org/stable/community.31834848,,17,anniversary_item,"/img/derivatives/iiif/images/208714/full/250,/0/default.jpg","/img/derivatives/iiif/images/208714/full/1140,/0/default.jpg",/img/derivatives/iiif/208714/manifest.json
